ID_Profesorado;Profesorado;Año;Espacio Curricular;Horas;Cuatrimestre;Formato;Para cursar debe tener Regular;Para cursar debe Aprobar;Para rendir debe tener aprobada
P303;Profesorado de Educación Primaria;3°;Alfabetización Inicial;4;Anual;Módulo;Psicología Educacional, Sujeto de la Educación Primaria I;Prácticas del Lenguaje;Psicología Educacional, Sujeto de la Educación Primaria I, Prácticas del Lenguaje
P304;Profesorado de Educación Primaria;3°;Didáctica de las Ciencias Sociales;4;Anual;Módulo;Didáctica General, Ciencias Sociales;Pedagogía;Didáctica General, Ciencias Sociales, Pedagogía
P305;Profesorado de Educación Primaria;3°;Didáctica de las prácticas del lenguaje;4;Anual;Módulo;Didáctica General;Prácticas del Lenguaje, Pedagogía;Prácticas del Lenguaje, Pedagogía, Didáctica General
P306;Profesorado de Educación Primaria;3°;Filosofía de la Educación;4;1° Cuat.;Asignatura;Ninguna;Pedagogía;Pedagogía
P307;Profesorado de Educación Primaria;3°;Formación Ética y Ciudadana;4;1° Cuat.;Módulo;Ninguna;Ninguna;Ninguna
P308;Profesorado de Educación Primaria;3°;Sujeto de la Educación Primaria II;4;1° Cuat.;Módulo;Sujeto de la Educación Primaria I;Ninguna;Sujeto de la Educación Primaria I
P309;Profesorado de Educación Primaria;3°;Sociología de la Educación;4;2° Cuat.;Asignatura;Historia y política educacional;Historia Social Argentina y Latinoamericana;Historia Social Argentina y Latinoamericana, Historia y política educacional
P310;Profesorado de Educación Primaria;3°;Educación Física;3;2° Cuat.;Taller;Ninguna;Cuerpo, juego y expresión;
P401;Profesorado de Educación Primaria;4°;Práctica IV: Residencia pedagógica;10;Anual;Práctica;Ninguna;Pedagogía, Práctica I: Instituciones educativas y comunidad, Matemática, Ciencias Naturales, Prácticas del Lenguaje, Historia Social Argentina y Latinoamericana, Alfabetización Académica, Cuerpo, juego y expresión, Psicología Educacional, Educación Sexual Integral, Práctica II: Enseñanza y curriculum, Didáctica General, Ciencias Sociales, Problemática de la educación primaria, Didáctica de la matemática, Didáctica de las ciencias naturales, Sujeto de la Educación Primaria I, Curriculum, Historia y política educacional, Práctica III: Práctica de la enseñanza, Lenguajes artísticos, Alfabetización Inicial, Didáctica de las Ciencias Sociales, Didáctica de las prácticas del lenguaje, Filosofía de la Educación, Formación Ética y Ciudadana, Sujeto de la Educación Primaria II, Sociología de la Educación, Educación Física;
P402;Profesorado de Educación Primaria;4°;Investigación Educativa;3;Anual;Taller;Ninguna;Alfabetización Académica, Práctica III: Práctica de la enseñanza;
P403;Profesorado de Educación Primaria;4°;Taller de Residencia de Matemática;4;Anual;Taller;Ninguna;Pedagogía, Práctica I: Instituciones educativas y comunidad, Matemática, Ciencias Naturales, Prácticas del Lenguaje, Historia Social Argentina y Latinoamericana, Alfabetización Académica, Cuerpo, juego y expresión, Psicología Educacional, Educación Sexual Integral, Práctica II: Enseñanza y curriculum, Didáctica General, Ciencias Sociales, Problemática de la educación primaria, Didáctica de la matemática, Didáctica de las ciencias naturales, Sujeto de la Educación Primaria I, Curriculum, Historia y política educacional, Práctica III: Práctica de la enseñanza, Lenguajes artísticos, Alfabetización Inicial, Didáctica de las Ciencias Sociales, Didáctica de las prácticas del lenguaje, Filosofía de la Educación, Formación Ética y Ciudadana, Sujeto de la Educación Primaria II, Sociología de la Educación, Educación Física;
P404;Profesorado de Educación Primaria;4°;Taller de Residencia de Prácticas del Lenguaje;4;Anual;Taller;Ninguna;Pedagogía, Práctica I: Instituciones educativas y comunidad, Matemática, Ciencias Naturales, Prácticas del Lenguaje, Historia Social Argentina y Latinoamericana, Alfabetización Académica, Cuerpo, juego y expresión, Psicología Educacional, Educación Sexual Integral, Práctica II: Enseñanza y curriculum, Didáctica General, Ciencias Sociales, Problemática de la educación primaria, Didáctica de la matemática, Didáctica de las ciencias naturales, Sujeto de la Educación Primaria I, Curriculum, Historia y política educacional, Práctica III: Práctica de la enseñanza, Lenguajes artísticos, Alfabetización Inicial, Didáctica de las Ciencias Sociales, Didáctica de las prácticas del lenguaje, Filosofía de la Educación, Formación Ética y Ciudadana, Sujeto de la Educación Primaria II, Sociología de la Educación, Educación Física;
P405;Profesorado de Educación Primaria;4°;Taller de Residencia de Ciencias Naturales;4;Anual;Taller;Ninguna;Pedagogía, Práctica I: Instituciones educativas y comunidad, Matemática, Ciencias Naturales, Prácticas del Lenguaje, Historia Social Argentina y Latinoamericana, Alfabetización Académica, Cuerpo, juego y expresión, Psicología Educacional, Educación Sexual Integral, Práctica II: Enseñanza y curriculum, Didáctica General, Ciencias Sociales, Problemática de la educación primaria, Didáctica de la matemática, Didáctica de las ciencias naturales, Sujeto de la Educación Primaria I, Curriculum, Historia y política educacional, Práctica III: Práctica de la enseñanza, Lenguajes artísticos, Alfabetización Inicial, Didáctica de las Ciencias Sociales, Didáctica de las prácticas del lenguaje, Filosofía de la Educación, Formación Ética y Ciudadana, Sujeto de la Educación Primaria II, Sociología de la Educación, Educación Física;
P406;Profesorado de Educación Primaria;4°;Taller de Residencia de Ciencias Sociales;4;Anual;Taller;Ninguna;Pedagogía, Práctica I: Instituciones educativas y comunidad, Matemática, Ciencias Naturales, Prácticas del Lenguaje, Historia Social Argentina y Latinoamericana, Alfabetización Académica, Cuerpo, juego y expresión, Psicología Educacional, Educación Sexual Integral, Práctica II: Enseñanza y curriculum, Didáctica General, Ciencias Sociales, Problemática de la educación primaria, Didáctica de la matemática, Didáctica de las ciencias naturales, Sujeto de la Educación Primaria I, Curriculum, Historia y política educacional, Práctica III: Práctica de la enseñanza, Lenguajes artísticos, Alfabetización Inicial, Didáctica de las Ciencias Sociales, Didáctica de las prácticas del lenguaje, Filosofía de la Educación, Formación Ética y Ciudadana, Sujeto de la Educación Primaria II, Sociología de la Educación, Educación Física;
P407;Profesorado de Educación Primaria;4°;Proyectos Educativos con TIC;3;1° Cuat.;Taller;Didáctica de las Ciencias Sociales, Didáctica de las prácticas del lenguaje, Didáctica de la matemática, Didáctica de las ciencias naturales;Ninguna;Ninguna
P408;Profesorado de Educación Primaria;1°;EDI 1;3;1° Cuat.;Taller;Ninguna;Ninguna;Ninguna
P409;Profesorado de Educación Primaria;3°;EDI 2;3;2° Cuat.;Taller;Ninguna;Ninguna;Ninguna
P410;Profesorado de Educación Primaria;4°;EDI 3;3;2° Cuat.;Taller;Ninguna;Ninguna;Ninguna
P411;Profesorado de Educación Primaria;4°;EDI 4;3;1° Cuat.;Taller;Ninguna;Ninguna;Ninguna
